album_name,track_name,artist_names,selection_type,dist_to_centroid
Blue Lines,One Love - 2012 Mix/Master,Massive Attack;Horace Andy,representative,2.393132051216474
Blue Lines,Five Man Army - 2012 Mix/Master,Massive Attack;Horace Andy;Tricky,distinctive,3.756899373669292
Protection,Sly,Massive Attack;Nicolette,representative,1.709492689733967
Protection,Three,Massive Attack;Nicolette,distinctive,3.739320480064376
Mezzanine,Man Next Door,Massive Attack;Horace Andy,representative,1.749099560055795
Mezzanine,(Exchange),Massive Attack;Horace Andy,distinctive,3.572714225974917
100th Window,A Prayer For England,Massive Attack;Sinéad O'Connor,representative,1.816305069191531
100th Window,What Your Soul Sings,Massive Attack;Sinéad O'Connor,distinctive,3.4344599945346665
Heligoland,Pray For Rain,Massive Attack;Tunde Adebimpe,representative,1.8002242365715133
Heligoland,Atlas Air,Massive Attack,distinctive,3.4434710457914437
